EDO28477	SINLEJ007638
EDO28480	SINLEJ003045
EDO28487	SINLEJ012776
EDO28496	SINLEJ010424
EDO28496	SINLEJ600072
EDO28496	SINLEJ005576
EDO28502	SINLEJ015319
EDO28502	SINLEJ003225
EDO28502	SINLEJ015320
EDO28502	SINLEJ001485
EDO28508	SINLEJ001076
EDO28515	SINLEJ006837
EDO28528	SINLEJ000835
EDO28536	SINLEJ016467
EDO28539	SINLEJ011217
EDO28543	SINLEJ000021
EDO28546	SINLEJ010139
EDO28555	SINLEJ005569
EDO28555	SINLEJ000696
EDO28561	SINLEJ016668
EDO28571	SINLEJ000974
EDO28578	SINLEJ000773
EDO28578	SINLEJ000652
EDO28578	SINLEJ014401
EDO28584	SINLEJ009301
EDO28592	SINLEJ013721
EDO28592	SINLEJ007300
EDO28592	SINLEJ011463
EDO28592	SINLEJ014445
EDO28599	SINLEJ016243
EDO28602	SINLEJ000195
EDO28603	SINLEJ004721
EDO28603	SINLEJ013587
EDO28605	SINLEJ011832
EDO28605	SINLEJ011831
EDO28610	SINLEJ001417
EDO28610	SINLEJ001525
EDO28617	SINLEJ004238
EDO28620	SINLEJ003833
EDO28621	SINLEJ008754
EDO28621	SINLEJ008751
EDO28630	SINLEJ010104
EDO28630	SINLEJ010102
EDO28631	SINLEJ017921
EDO28639	SINLEJ019268
EDO28641	SINLEJ005729
EDO28643	SINLEJ007373
EDO28648	SINLEJ010719
EDO28648	SINLEJ010447
EDO28660	SINLEJ010779
EDO28664	SINLEJ006305
EDO28665	SINLEJ000567
EDO28675	SINLEJ014446
EDO28678	SINLEJ005645
EDO28680	SINLEJ019295
EDO28683	SINLEJ014549
EDO28707	SINLEJ019198
EDO28707	SINLEJ004784
EDO28710	SINLEJ600291
EDO28716	SINLEJ014252
EDO28720	SINLEJ011335
EDO28725	SINLEJ010827
EDO28728	SINLEJ009732
EDO28729	SINLEJ007114
EDO28746	SINLEJ004309
EDO28766	SINLEJ017535
EDO28769	SINLEJ005864
EDO28769	SINLEJ015558
EDO28769	SINLEJ015577
EDO28769	SINLEJ018244
EDO28783	SINLEJ000592
EDO28783	SINLEJ013120
EDO28783	SINLEJ014484
EDO28787	SINLEJ005887
EDO28790	SINLEJ016416
EDO28797	SINLEJ017315
EDO28800	SINLEJ009627
EDO28801	SINLEJ012851
EDO28803	SINLEJ003535
EDO28808	SINLEJ005236
EDO28810	SINLEJ016938
EDO28821	SINLEJ003421
EDO28828	SINLEJ019205
EDO28839	SINLEJ005709
EDO28841	SINLEJ016040
EDO28841	SINLEJ016032
EDO28841	SINLEJ008752
EDO28841	SINLEJ013099
EDO28852	SINLEJ008074
EDO28860	SINLEJ008630
EDO28862	SINLEJ001876
EDO28875	SINLEJ000678
EDO28875	SINLEJ002188
EDO28888	SINLEJ005109
EDO28892	SINLEJ001678
EDO28893	SINLEJ010773
EDO28925	SINLEJ005287
EDO28926	SINLEJ016824
EDO28939	SINLEJ011611
EDO28939	SINLEJ002839
EDO28945	SINLEJ010426
EDO28945	SINLEJ013834
EDO28945	SINLEJ001262
EDO28946	SINLEJ001261
EDO28946	SINLEJ010425
EDO28946	SINLEJ013833
EDO28946	SINLEJ600067
EDO28952	SINLEJ013791
EDO28963	SINLEJ012968
EDO28980	SINLEJ012130
EDO28980	SINLEJ009495
EDO28980	SINLEJ019203
EDO28980	SINLEJ012124
EDO28981	SINLEJ001033
EDO28985	SINLEJ015751
EDO29006	SINLEJ001718
EDO29009	SINLEJ016747
EDO29015	SINLEJ008448
EDO29019	SINLEJ002763
EDO29019	SINLEJ010941
EDO29021	SINLEJ600371
EDO29021	SINLEJ016146
EDO29023	SINLEJ009573
EDO29024	SINLEJ017002
EDO29024	SINLEJ000857
EDO29026	SINLEJ600470
EDO29027	SINLEJ001123
EDO29030	SINLEJ015854
EDO29032	SINLEJ004305
EDO29032	SINLEJ004306
EDO29039	SINLEJ019150
EDO29039	SINLEJ001357
EDO29045	SINLEJ001935
EDO29055	SINLEJ011685
EDO29063	SINLEJ007611
EDO29066	SINLEJ009379
EDO29072	SINLEJ010972
EDO29072	SINLEJ003970
EDO29080	SINLEJ000085
EDO29083	SINLEJ001014
EDO29093	SINLEJ000793
EDO29093	SINLEJ015859
EDO29098	SINLEJ019304
EDO29101	SINLEJ012634
EDO29103	SINLEJ000053
EDO29103	SINLEJ000046
EDO29125	SINLEJ002867
EDO29126	SINLEJ600061
EDO29133	SINLEJ003110
EDO29133	SINLEJ017579
EDO29146	SINLEJ005013
EDO29146	SINLEJ005014
EDO29153	SINLEJ005630
EDO29157	SINLEJ008387
EDO29161	SINLEJ013464
EDO29162	SINLEJ004869
EDO29163	SINLEJ009359
EDO29167	SINLEJ004666
EDO29182	SINLEJ005343
EDO29184	SINLEJ016579
EDO29184	SINLEJ015756
EDO29184	SINLEJ008099
EDO29184	SINLEJ013427
EDO29188	SINLEJ018063
EDO29188	SINLEJ018001
EDO29209	SINLEJ011735
EDO29209	SINLEJ011739
EDO29209	SINLEJ005809
EDO29209	SINLEJ011741
EDO29212	SINLEJ010753
EDO29218	SINLEJ007885
EDO29227	SINLEJ005285
EDO29232	SINLEJ016481
EDO29232	SINLEJ016740
EDO29236	SINLEJ012684
EDO29236	SINLEJ013508
EDO29237	SINLEJ012718
EDO29242	SINLEJ019112
EDO29258	SINLEJ011822
EDO29270	SINLEJ005840
EDO29278	SINLEJ018194
EDO29278	SINLEJ018007
EDO29278	SINLEJ018062
EDO29280	SINLEJ004037
EDO29280	SINLEJ010890
EDO29280	SINLEJ000492
EDO29280	SINLEJ004038
EDO29284	SINLEJ015728
EDO29284	SINLEJ016737
EDO29286	SINLEJ006750
EDO29292	SINLEJ006149
EDO29309	SINLEJ600093
EDO29311	SINLEJ010506
EDO29351	SINLEJ005628
EDO29351	SINLEJ001409
EDO29364	SINLEJ018884
EDO29367	SINLEJ006452
EDO29367	SINLEJ006451
EDO29375	SINLEJ011752
EDO29375	SINLEJ011779
EDO29382	SINLEJ003491
EDO29382	SINLEJ003490
EDO29391	SINLEJ017411
EDO29419	SINLEJ011817
EDO29422	SINLEJ008219
EDO29422	SINLEJ000367
EDO29422	SINLEJ003442
EDO29428	SINLEJ013522
EDO29432	SINLEJ006814
EDO29435	SINLEJ009472
EDO29435	SINLEJ010150
EDO29437	SINLEJ015301
EDO29441	SINLEJ000719
EDO29441	SINLEJ007886
EDO29443	SINLEJ010698
EDO29443	SINLEJ015429
EDO29444	SINLEJ017532
EDO29455	SINLEJ003474
EDO29472	SINLEJ018372
EDO29472	SINLEJ006431
EDO29478	SINLEJ010572
EDO29484	SINLEJ012598
EDO29492	SINLEJ003947
EDO29496	SINLEJ005545
EDO29497	SINLEJ004077
EDO29503	SINLEJ013393
EDO29519	SINLEJ014226
EDO29522	SINLEJ017487
EDO29534	SINLEJ001890
EDO29538	SINLEJ018236
EDO29538	SINLEJ017887
EDO29538	SINLEJ001403
EDO29540	SINLEJ005764
EDO29542	SINLEJ006926
EDO29542	SINLEJ015289
EDO29547	SINLEJ010328
EDO29547	SINLEJ012942
EDO29559	SINLEJ010214
EDO29564	SINLEJ000936
EDO29570	SINLEJ003157
EDO29570	SINLEJ600367
EDO29570	SINLEJ001725
EDO29571	SINLEJ004655
EDO29577	SINLEJ003033
EDO29577	SINLEJ012320
EDO29578	SINLEJ006325
EDO29580	SINLEJ011579
EDO29593	SINLEJ003215
EDO29593	SINLEJ012491
EDO29602	SINLEJ001083
EDO29608	SINLEJ012803
EDO29612	SINLEJ006062
EDO29616	SINLEJ016884
EDO29630	SINLEJ006868
EDO29630	SINLEJ015228
EDO29630	SINLEJ006867
EDO29630	SINLEJ015227
EDO29631	SINLEJ011655
EDO29631	SINLEJ015099
EDO29640	SINLEJ001010
EDO29644	SINLEJ006914
EDO29644	SINLEJ015277
EDO29665	SINLEJ014488
EDO29665	SINLEJ000394
EDO29666	SINLEJ012551
EDO29671	SINLEJ011016
EDO29671	SINLEJ011015
EDO29674	SINLEJ008591
EDO29675	SINLEJ015729
EDO29675	SINLEJ001917
EDO29679	SINLEJ003758
EDO29684	SINLEJ013651
EDO29687	SINLEJ016457
EDO29699	SINLEJ018881
EDO29702	SINLEJ000155
EDO29702	SINLEJ018055
EDO29702	SINLEJ019083
EDO29702	SINLEJ000158
EDO29706	SINLEJ010618
